Institute,Name,RollNumber,Branch,StartingYear,CurrentCourses,PastCoursesGrades
IIIT,Rahul Kumar,PhD24898,CB,2024,801;DL;802,DSA:8;BML:7;702:6;801:6
IIIT,Diya Kaur,2024885,SSH,2024,BML;701;702,777:10;DSA:5;702:8;OOPD:5
IIIT,Shaurya Bhatia,2023499,CSE,2023,801;DL;ML;777,701:5;601:9;801:5;FF:5;OOPD:8;ML:5
IIIT,Simran Mehta,2024506,CB,2024,802;BML;801;DSA,602:6;615:7;FF:6;BML:7;802:5
IIIT,Neha Gupta,MT24128,ECE,2024,615;BML,601:5;DSA:6;701:8;802:8;FF:6;702:8
IIIT,Atharv Joshi,PhD23670,CB,2023,FF;OOPD,802:7;615:10;OOPD:5;777:6;602:6
IIIT,Pooja Verma,MT23440,SSH,2023,DSA;OOPD,615:9;DSA:10;FF:6;ML:8;802:8;801:8;702:6;DL:8
IIIT,Atharv Desai,2022414,CSE,2022,ML;602,ML:6;FF:9;801:7;BML:6
IIIT,Pooja Saxena,MT21484,SSH,2021,FF;OOPD;602,615:6;801:5;BML:8;701:8;ML:8;FF:7;DSA:6
IIIT,Myra Kumar,MT23727,CSE,2023,DSA;FF;602,BML:8;701:8;802:5;602:8;FF:10;777:7;702:5
IIIT,Reyansh Gupta,PhD21996,ECE,2021,802;DSA;BML;ML,701:7;FF:5;702:10;801:6;602:8;BML:6
IIIT,Anya Malhotra,MT21092,CSE,2021,ML;FF,602:6;777:8;FF:9;BML:6
IIIT,Vivaan Gupta,2022173,CB,2022,701;777,FF:9;777:5;602:8;601:7;701:6;ML:8
IIIT,Ishaan Gupta,MT21085,ECE,2021,FF;BML;DL;OOPD,801:10;BML:7;615:5;DSA:8;802:9;701:8;ML:6
IIIT,Sneha Chopra,MT23804,CSE,2023,801;702;601,DL:7;777:9;602:9;701:6;702:7;BML:5;615:6
IIIT,Ananya Verma,MT22474,CB,2022,615;602;777;802,777:9;615:5;BML:7;802:10;OOPD:5;801:8;602:6
IIIT,Sarthak Iyer,2023445,CSE,2023,DSA;801,OOPD:7;801:5;802:5;BML:9;601:6;777:8;702:6;DSA:6
IIIT,Riya Singh,PhD22255,CSE,2022,777;802;601;ML,801:5;ML:10;OOPD:6;701:7
IIIT,Aditi Pandey,MT21362,CSE,2021,801;DL;OOPD,777:8;DL:7;701:10;615:9
IIIT,Ananya Chopra,MT22070,CB,2022,702;801;615,BML:9;777:5;OOPD:9;602:8;802:10
IIIT,Kavya Saxena,PhD22477,CSE,2022,701;615;777,DSA:8;602:9;615:7;DL:10;702:8;ML:6
IIIT,Riya Kaur,MT22499,CB,2022,701;802,BML:8;777:9;601:5;ML:9;OOPD:5;DSA:7;602:9
IIIT,Diya Kaur,2024075,SSH,2024,FF;601;802,DSA:7;802:6;601:8;701:5;615:6;BML:5;OOPD:6
IIIT,Neha Nair,MT24413,CSE,2024,OOPD;FF,801:6;777:7;DL:5;601:5;701:7;FF:9;615:8
IIIT,Karan Mishra,2023589,ECE,2023,777;DSA,FF:9;ML:7;OOPD:8;702:10;615:6;701:10;DSA:6;777:8
IIIT,Diya Singh,MT22827,ECE,2022,DL;802;701,DSA:7;ML:6;OOPD:8;602:6;601:6
IIIT,Riya Chopra,PhD24980,CSE,2024,BML;DL;ML,802:7;701:7;615:8;OOPD:9;FF:5;ML:6
IIIT,Rahul Agarwal,PhD22045,CSE,2022,701;DL,702:6;ML:7;601:6;701:6;BML:6;801:6
IIIT,Vikram Das,2024225,ECE,2024,702;DSA,802:8;601:7;DL:10;701:5;615:6;702:6
IIIT,Reyansh Saxena,MT21405,SSH,2021,615;701;DL;BML,DL:8;FF:7;802:8;602:8;615:8;DSA:7;801:6
IIIT,Rahul Patel,MT23201,SSH,2023,BML;OOPD;DL,DL:5;801:6;802:7;615:9;OOPD:8
IIIT,Vikram Khanna,2022207,ECE,2022,BML;615,DSA:5;BML:9;701:7;ML:8;DL:9;801:10
IIIT,Rahul Reddy,PhD24275,CSE,2024,777;OOPD;DSA,OOPD:8;615:9;602:5;BML:8;701:10;FF:7
IIIT,Aarav Gupta,MT22866,CSE,2022,ML;DSA;BML,DL:6;FF:7;702:7;802:5;601:7
IIIT,Sarthak Singh,PhD23393,ECE,2023,601;701;602,FF:5;615:6;ML:6;602:5
IIIT,Aditya Singh,MT23395,SSH,2023,DSA;DL,702:8;FF:7;802:7;602:9;DSA:9;615:7;DL:9;801:7
IIIT,Shaurya Bhatia,2021808,SSH,2021,702;777,OOPD:6;701:8;801:6;602:6
IIIT,Karan Agarwal,MT24541,ECE,2024,702;777;602;615,702:8;DSA:6;FF:7;801:5
IIIT,Sneha Saxena,2023515,CSE,2023,OOPD;BML,FF:6;601:7;DL:6;BML:6;615:9;701:6;702:6
IIIT,Vikram Mishra,MT21679,ECE,2021,802;602;701;601,777:8;802:7;801:7;602:6;FF:5;601:6;OOPD:7;ML:7
IIIT,Pooja Joshi,2021508,ECE,2021,FF;BML;801;701,DSA:5;702:8;OOPD:5;802:6;FF:8
IIIT,Neha Verma,2023335,CSE,2023,702;DSA,ML:9;615:7;602:9;777:5
IIIT,Riya Chopra,2024901,CSE,2024,615;802;602;OOPD,BML:6;602:8;801:7;702:6;DL:6
IIIT,Anya Reddy,2022201,ECE,2022,ML;601;702,702:6;777:9;801:9;DSA:8
IIIT,Rahul Chopra,2022711,CSE,2022,ML;801;777,802:8;FF:10;BML:10;OOPD:5;777:6;601:9;702:8;602:7
IIIT,Vikram Joshi,2023584,ECE,2023,BML;701;OOPD,ML:5;801:6;OOPD:8;777:8;BML:5;702:8;701:8
IIIT,Ayaan Desai,2021432,ECE,2021,OOPD;602;802,602:10;BML:6;801:5;701:7;702:5;DSA:10;802:5;DL:8
IIIT,Karan Malhotra,MT23699,ECE,2023,801;DSA,615:8;DL:7;802:7;601:9;BML:6
IIIT,Kavya Kapoor,MT21591,CSE,2021,777;801;FF,OOPD:7;602:6;701:6;FF:7;601:5
IIIT,Reyansh Kumar,PhD22392,ECE,2022,OOPD;701,DSA:10;OOPD:6;602:7;777:5;601:10;801:7;BML:6;615:7
IIIT,Anjali Agarwal,MT22341,SSH,2022,777;602;OOPD,801:7;601:8;702:6;ML:5;DL:7;DSA:5
IIIT,Vikram Chopra,MT21733,ECE,2021,BML;601,ML:6;701:10;FF:5;777:8;DSA:10;602:6
IIIT,Atharv Kaur,2021806,CB,2021,DL;701,DL:6;701:10;DSA:9;ML:10
IIIT,Shaurya Saxena,2021201,CB,2021,702;FF;801;BML,701:6;DL:7;601:6;615:8
IIIT,Vikram Pandey,2024051,CB,2024,FF;801,DL:8;OOPD:5;BML:8;802:8;701:5
IIIT,Rahul Yadav,2022472,SSH,2022,601;801;DL,DSA:6;701:6;ML:8;702:7;601:10;BML:6;615:6
IIIT,Krishna Iyer,MT21095,CB,2021,801;601;DSA;802,801:8;602:10;777:8;ML:8
IIIT,Pooja Mishra,2022470,CB,2022,802;777;601;ML,802:10;615:6;ML:6;BML:8;OOPD:10;DSA:7
IIIT,Shaurya Gupta,MT21627,CSE,2021,ML;702;602,BML:7;615:6;777:5;702:5;701:8;DSA:6;802:6
IIIT,Prisha Gupta,PhD22297,CSE,2022,615;602,701:5;ML:7;DL:10;602:5;801:5;OOPD:6
IIIT,Vikram Chopra,MT24988,SSH,2024,777;802,OOPD:5;DSA:5;801:6;802:9;FF:5;702:9
IIIT,Sarthak Kapoor,2022144,CSE,2022,FF;DL,602:5;777:9;701:8;801:7;601:6;DL:8;ML:7
IIIT,Rohan Reddy,MT21062,ECE,2021,701;601;615;OOPD,BML:8;DL:5;601:6;702:5;602:5;615:10;777:10
IIIT,Aarav Nair,2024336,SSH,2024,DSA;802;801;602,602:5;OOPD:5;802:7;ML:7;BML:6
IIIT,Krishna Iyer,MT22877,SSH,2022,602;777;DSA;701,BML:6;602:8;DL:6;777:9;702:10;701:7
IIIT,Rahul Gupta,MT21927,CB,2021,601;701;DL,802:7;701:7;601:8;615:7
IIIT,Sumit Desai,2023846,CSE,2023,702;777;OOPD;FF,OOPD:7;ML:9;FF:5;802:7;702:6;DL:10;DSA:7;801:8
IIIT,Sneha Kumar,2022854,CB,2022,802;801,777:9;DL:5;FF:6;701:5;BML:6
IIIT,Anya Mehta,MT23503,CB,2023,801;615,802:8;DL:7;801:6;701:5
IIIT,Vihaan Kaur,2021010,ECE,2021,OOPD;DL,FF:9;777:5;DL:8;601:8;702:6;701:9;802:6
IIIT,Vivaan Malhotra,PhD21674,ECE,2021,701;615;FF;702,777:8;DSA:7;602:9;801:7
IIIT,Ananya Joshi,MT22191,ECE,2022,FF;802,FF:8;ML:9;602:9;DSA:5;702:6
IIIT,Aarav Verma,MT21240,CB,2021,602;ML,OOPD:7;602:6;802:10;777:6;701:8
IIIT,Pooja Yadav,MT23642,SSH,2023,DSA;777;FF;801,FF:9;ML:8;801:6;BML:7;615:5;DSA:7;601:8;802:10
IIIT,Saanvi Verma,2022540,CB,2022,802;777;601,701:5;DL:6;ML:8;802:6;602:9
IIIT,Atharv Verma,MT21034,CB,2021,602;BML;615,601:7;615:7;802:6;DSA:5;BML:9
IIIT,Riya Bhatia,2021756,ECE,2021,802;777;702;OOPD,FF:10;DL:8;615:7;DSA:6;OOPD:5;801:8;601:8;777:6
IIIT,Rohan Kapoor,2024281,CB,2024,777;701;601,OOPD:7;602:7;DSA:7;FF:10
IIIT,Vihaan Chopra,2023211,SSH,2023,FF;ML;615,777:5;802:6;801:7;BML:9;DL:9;DSA:5;ML:10;602:6
IIIT,Vikram Mehta,MT23568,ECE,2023,BML;ML;601;802,DL:6;702:8;701:9;777:8;BML:7;OOPD:10;801:7
IIIT,Diya Chopra,MT23246,CB,2023,702;BML;802;FF,702:5;OOPD:6;DL:7;701:8;777:6
IIIT,Sai Das,2024127,CSE,2024,BML;ML,777:7;601:7;FF:5;802:6;DSA:8;DL:9;602:6;801:6
IIIT,Arjun Khanna,MT24862,ECE,2024,777;DL;OOPD;DSA,777:7;801:10;DSA:7;615:7;701:5;OOPD:5
IIIT,Prisha Rao,2024469,ECE,2024,602;OOPD,701:8;777:8;702:9;FF:5;601:9;602:6;DSA:10
IIIT,Aditi Joshi,MT22859,SSH,2022,DSA;602;701,ML:6;OOPD:8;601:7;802:7;701:6
IIIT,Vivaan Verma,PhD21881,CB,2021,601;602;777;DL,602:10;601:5;OOPD:6;FF:7
IIIT,Sneha Khanna,2021767,CB,2021,615;801;OOPD,777:7;702:5;802:8;FF:6;DL:6;701:9;615:6;801:6
IIIT,Aarav Kapoor,2024570,ECE,2024,601;OOPD;777;DL,615:7;FF:7;BML:6;802:5;602:8;DL:6
IIIT,Kavya Singh,2023534,SSH,2023,FF;ML;BML,BML:8;777:7;ML:5;615:5
IIIT,Prisha Verma,2024218,SSH,2024,ML;702;601,777:6;DSA:10;DL:5;ML:5;602:7
IIIT,Sarthak Joshi,2022956,SSH,2022,801;ML,FF:6;ML:7;702:7;601:5;801:5
IIIT,Sai Kumar,MT23246,CSE,2023,615;FF;ML,777:5;DL:9;801:8;ML:6
IIIT,Arjun Joshi,2021993,SSH,2021,777;801;BML;701,FF:7;601:6;OOPD:7;802:8;DSA:9;701:10;BML:6
IIIT,Shaurya Kumar,2021506,CB,2021,701;615,FF:6;802:8;ML:8;BML:10;602:7;615:6
IIIT,Diya Kapoor,2024301,ECE,2024,DL;701,BML:5;777:5;602:8;OOPD:5;802:6
IIIT,Neha Saxena,MT24929,ECE,2024,701;777,FF:10;801:5;702:6;BML:8;601:6;DSA:10;615:6;ML:8
IIIT,Prisha Yadav,2023106,SSH,2023,702;601,FF:8;ML:8;OOPD:6;601:5
IIIT,Sneha Gupta,PhD23801,CB,2023,DSA;701;ML;601,ML:8;DSA:9;OOPD:6;702:8;777:10;801:8;701:7
IIIT,Anjali Rao,PhD21257,CB,2021,602;801;777;BML,601:6;DL:5;615:9;702:5
IIIT,Ayaan Mehta,MT24054,SSH,2024,702;802;FF;DL,BML:8;702:5;FF:6;801:9
IIIT,Vihaan Khanna,MT23998,CB,2023,801;BML;702;701,DSA:8;777:10;DL:5;601:8;615:7;BML:7;OOPD:8
IIIT,Ayaan Singh,2023537,CB,2023,FF;601;777;615,602:8;BML:10;DL:9;601:5;ML:7
IIIT,Aarav Verma,MT24267,CSE,2024,FF;DSA,615:6;702:9;FF:8;ML:7
IIIT,Pooja Chopra,MT21099,SSH,2021,615;801;OOPD;602,801:6;615:10;ML:5;602:8;OOPD:7;802:5
IIIT,Simran Iyer,2021819,CSE,2021,OOPD;602;BML,615:6;OOPD:5;802:7;ML:8;601:7;777:5
IIIT,Sarthak Desai,PhD23395,CSE,2023,601;602;802,BML:7;615:7;701:8;602:8;702:5;801:7;FF:8
IIIT,Anya Iyer,MT22756,CB,2022,701;702;DSA,BML:7;702:9;701:8;602:7;601:5;DSA:6;DL:10;615:6
IIIT,Shaurya Desai,MT24570,CB,2024,FF;702,702:6;802:10;615:5;801:8;FF:6
IIIT,Vikram Malhotra,2023411,CB,2023,DL;602;BML;802,ML:5;777:7;802:6;801:9;615:10
IIIT,Anya Das,MT22948,CSE,2022,DL;DSA;802,602:6;FF:10;777:7;DL:5;802:8
IIIT,Diya Nair,PhD22857,SSH,2022,615;OOPD;701,802:7;615:9;DSA:8;702:6;OOPD:7;777:5;BML:8
IIIT,Atharv Mehta,MT24637,CSE,2024,777;701;801,OOPD:9;DL:7;DSA:8;ML:5;615:8;602:5;777:5
IIIT,Amit Das,MT22026,CB,2022,615;802;FF,DL:10;615:7;702:7;601:7;777:8;DSA:9;ML:6
IIIT,Vikram Malhotra,MT24226,SSH,2024,802;702,BML:9;802:8;701:5;DSA:6
IIIT,Neha Sharma,MT23468,CB,2023,615;777;602;802,602:10;702:10;DL:7;615:9;OOPD:7;801:7;BML:7
IIIT,Prisha Mehta,2023881,CSE,2023,OOPD;BML;702;701,BML:6;701:9;615:5;802:5;801:7;OOPD:7
IIIT,Ishaan Mishra,2022130,CSE,2022,777;702,BML:5;801:10;702:7;FF:6;615:5;ML:6;701:7;777:9
IIIT,Diya Singh,2022793,SSH,2022,FF;DL;DSA;ML,DSA:7;802:5;DL:5;801:10;702:8;602:5
IIIT,Anjali Desai,2022459,ECE,2022,601;602;BML;DL,ML:8;DSA:8;702:10;FF:5;601:7;602:7;801:8
IIIT,Rohan Das,MT22938,SSH,2022,ML;DSA,602:6;601:5;802:8;BML:7;DL:9;701:6;777:6
IIIT,Anya Mishra,PhD21854,CB,2021,OOPD;BML;ML,DL:8;BML:7;701:5;601:5;FF:5;615:7
IIIT,Vikram Yadav,MT21096,SSH,2021,801;601;701;615,BML:7;702:5;DSA:7;ML:8;802:6;601:10;701:8
IIIT,Sai Bhatia,MT22435,SSH,2022,ML;777,ML:8;DSA:7;701:8;702:10;OOPD:8;FF:5
IIIT,Krishna Desai,MT23922,CSE,2023,ML;DSA,DL:8;FF:10;802:8;602:8;702:9;701:8;615:8
IIIT,Diya Das,MT24945,SSH,2024,702;801,777:10;602:5;802:10;FF:6
IIIT,Aarav Yadav,2024164,CSE,2024,802;702;601;DSA,ML:10;DL:6;DSA:10;BML:5;602:8
IIIT,Ayaan Kumar,2022301,CSE,2022,601;801;BML;FF,802:6;601:5;701:6;702:5;FF:8;602:8;OOPD:7;801:6
IIIT,Vihaan Singh,2021239,CB,2021,FF;701,701:10;801:8;ML:6;FF:7;777:10;702:5;615:8
IIIT,Diya Rao,2024109,CSE,2024,777;FF,FF:5;777:10;801:5;BML:6;OOPD:6;802:7
IIIT,Prisha Sharma,PhD24287,ECE,2024,601;801;802;FF,OOPD:6;801:7;702:9;615:5
IIIT,Amit Iyer,PhD23988,SSH,2023,602;ML;BML,OOPD:5;615:8;BML:5;601:9;777:5;801:6;702:10;802:6
IIIT,Saanvi Gupta,PhD21127,CB,2021,602;BML;OOPD;701,OOPD:7;FF:10;BML:9;701:8;801:10
IIIT,Pari Pandey,2023283,CSE,2023,701;601;602;BML,FF:6;ML:5;602:8;DL:7;601:5;801:6
IIIT,Neha Mehta,PhD23620,SSH,2023,802;615;DSA;602,701:10;777:6;601:7;602:5;BML:5;FF:5;DSA:5;OOPD:7
IIIT,Ananya Singh,2023615,CB,2023,802;702,OOPD:6;802:6;615:5;702:10;DL:8
IIIT,Vihaan Patel,2021646,CSE,2021,702;DSA,702:6;BML:7;FF:8;777:6;802:7;801:6;701:10;DSA:5
IIIT,Diya Yadav,2024752,CSE,2024,OOPD;DL;602,DSA:10;701:5;ML:6;615:8;BML:6;DL:9
IIIT,Krishna Mehta,MT24206,SSH,2024,ML;701;OOPD,802:7;701:5;BML:6;OOPD:6;702:5;FF:9;777:7
IIIT,Sneha Bhatia,2024848,CSE,2024,602;601;ML;702,601:7;DSA:10;BML:6;FF:5;DL:5;801:7;701:8;602:7
IIIT,Pooja Nair,2024492,CSE,2024,OOPD;702,BML:6;802:8;602:8;702:8;601:7;615:7;701:5
IIIT,Sumit Yadav,2021896,SSH,2021,777;802;OOPD,701:8;601:8;OOPD:5;801:7
IIIT,Vikram Bhatia,2023693,CSE,2023,701;702;BML,701:5;DSA:7;DL:5;602:6;802:6;FF:8
IIIT,Vivaan Jain,2024536,CB,2024,DL;602;701;601,OOPD:7;602:7;701:7;777:8;802:8
IIIT,Atharv Saxena,2024773,SSH,2024,777;FF,777:7;602:8;DL:9;601:8;ML:8
IIIT,Neha Yadav,MT23036,ECE,2023,BML;702,BML:5;801:5;615:5;601:9;701:8;FF:8;702:8;DSA:5
IIIT,Pari Sharma,2021901,CB,2021,BML;OOPD;802,615:6;602:6;701:7;FF:7;DSA:6;601:9;777:5
IIIT,Sumit Kumar,MT21927,ECE,2021,701;ML,DL:5;601:7;FF:7;777:7;BML:5;602:6;ML:5;701:7
IIIT,Aditi Iyer,MT23790,SSH,2023,BML;DL,702:8;OOPD:9;ML:7;602:8;FF:5;DL:7;BML:10
IIIT,Ishaan Kaur,2021016,CSE,2021,DL;601;OOPD,DSA:8;OOPD:6;602:6;615:6;601:6;FF:5
IIIT,Arjun Kaur,MT24863,SSH,2024,615;FF;777,DL:7;FF:9;OOPD:7;BML:6;701:7;801:5;702:7
IIIT,Diya Khanna,2021703,ECE,2021,DL;BML,777:6;DL:10;FF:7;601:5;701:5;ML:8
IIIT,Simran Mehta,MT21001,CSE,2021,FF;701,BML:8;FF:7;777:7;601:6;802:7;DSA:10;801:5
IIIT,Anjali Patel,MT21284,CSE,2021,ML;615;DL;702,OOPD:6;702:6;BML:6;DSA:8;801:6;802:6
IIIT,Rohan Mishra,2024663,SSH,2024,FF;OOPD;601,DSA:6;OOPD:5;801:5;615:7;701:7;777:5
IIIT,Saanvi Joshi,2021002,CB,2021,602;702;777;BML,615:8;DL:7;701:7;FF:5;OOPD:8;702:10;777:8
IIIT,Sumit Kapoor,MT24429,CSE,2024,615;DSA;ML,802:5;DSA:7;601:8;FF:8;BML:9;701:10
IIIT,Prisha Chopra,MT23154,SSH,2023,BML;601,601:8;615:7;701:7;DL:7;602:5;801:10
IIIT,Saanvi Gupta,2023612,CB,2023,602;DL;FF,ML:6;FF:6;DL:6;OOPD:7;602:8;601:5;BML:5;801:10
IIIT,Arjun Pandey,2021341,SSH,2021,602;701;615,DSA:7;602:9;802:8;ML:8;701:5;777:5;801:8;702:6
IIIT,Vihaan Mehta,2021778,CB,2021,701;ML;601,FF:5;BML:8;DSA:5;702:5
IIIT,Reyansh Singh,MT23346,SSH,2023,BML;DL;702;DSA,DSA:5;BML:7;OOPD:9;DL:7;ML:6;615:6;777:5;FF:8
IIIT,Anjali Khanna,MT24300,SSH,2024,615;777,801:8;777:8;702:8;DSA:6;OOPD:5;802:5;ML:9
IIIT,Pooja Kumar,2022319,SSH,2022,615;701,FF:7;702:5;601:8;DL:8;615:5;802:7
IIIT,Rahul Jain,2022266,SSH,2022,ML;DL,DSA:7;ML:7;601:7;701:5
IIIT,Anya Pandey,2024635,SSH,2024,615;FF;777;BML,OOPD:6;801:5;602:6;BML:8
IIIT,Karan Malhotra,PhD21443,SSH,2021,777;802;DL,702:6;777:5;FF:9;701:8;602:7;ML:6;OOPD:10;DL:5
IIIT,Vihaan Das,MT24134,SSH,2024,601;702;ML;DL,602:5;FF:9;601:8;801:5
IIIT,Atharv Das,MT21623,SSH,2021,802;OOPD,FF:7;702:9;802:5;ML:10;DL:5
IIIT,Atharv Singh,MT22859,CSE,2022,602;701,BML:7;DSA:5;602:6;801:6;601:7;777:8
IIIT,Riya Verma,MT24390,CSE,2024,ML;702,702:8;DSA:7;ML:5;FF:8;777:5
IIIT,Aarav Saxena,PhD22742,ECE,2022,615;DL;DSA;601,615:10;801:5;701:9;BML:6;FF:8
IIIT,Shaurya Gupta,2024316,CB,2024,DL;FF;802,OOPD:8;802:8;777:9;615:7
IIIT,Ishaan Desai,MT21066,CSE,2021,601;701;DSA;615,DL:5;702:10;OOPD:8;DSA:9;615:8
IIIT,Sarthak Malhotra,2021614,CSE,2021,DL;801;BML,601:6;602:10;701:8;702:8;802:6;777:5
IIIT,Rahul Saxena,MT21327,CSE,2021,601;BML,702:10;ML:8;701:6;DL:5;FF:7;602:8
IIIT,Arjun Malhotra,2021926,CSE,2021,701;ML,601:6;701:10;ML:6;777:7;DSA:9;BML:8;702:10
IIIT,Rahul Malhotra,2023601,SSH,2023,802;602;777,FF:9;BML:6;801:5;802:6;ML:7;615:6;701:9
IIIT,Aditi Joshi,2023961,SSH,2023,602;601;FF;ML,FF:5;ML:8;701:5;DSA:5;702:8
IIIT,Neha Chopra,2024189,CB,2024,801;DSA;ML;OOPD,801:7;BML:8;615:6;701:6;702:9
IIIT,Krishna Jain,2022847,CSE,2022,DSA;777;702;ML,DSA:7;602:5;802:6;ML:7;FF:10;OOPD:6;BML:7
IIIT,Aarav Sharma,2021056,CB,2021,702;615;FF;OOPD,802:10;OOPD:7;777:6;601:6;DSA:7
IIIT,Aditi Chopra,2023787,SSH,2023,OOPD;601;DL,DL:5;802:7;BML:7;602:6;801:8;701:5;777:7;615:5
IIIT,Atharv Singh,MT22046,CB,2022,802;702;701;801,777:8;DSA:5;702:7;602:7;OOPD:9;701:9;802:5;ML:8
IIIT,Neha Kaur,2022048,CB,2022,802;BML;602;601,ML:5;702:9;777:6;OOPD:7;701:8;DSA:8;801:7
IIIT,Myra Chopra,MT24659,ECE,2024,802;702;602,FF:6;601:10;701:8;602:8;BML:5
IIIT,Riya Rao,MT22448,CSE,2022,802;615,DSA:7;602:6;702:6;FF:5;802:10;DL:7;601:7
IIIT,Amit Gupta,MT23287,CB,2023,802;BML;777,615:6;ML:9;777:6;DSA:7;801:8
IIIT,Pari Gupta,2022918,CB,2022,602;601,777:6;DSA:7;615:8;ML:9;602:6;OOPD:5;701:6;FF:10
IIIT,Riya Reddy,2024301,SSH,2024,801;DSA;DL,FF:6;OOPD:10;801:5;ML:8;601:5;777:9;702:5
IIIT,Vivaan Singh,2021553,ECE,2021,701;702;802,ML:6;BML:9;602:7;701:7;777:9;802:5
IIIT,Vikram Pandey,MT22182,CB,2022,777;DL;BML,777:10;601:6;OOPD:7;DSA:6
